time,router,count,metric_type
2026-07-24 10:52:30+00:00,br-koramangala,0,routing
2026-07-24 10:52:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:52:30+00:00,br-whitefield,0,routing
2026-07-24 10:52:30+00:00,ho-chennai,0,routing
2026-07-24 10:53:00+00:00,br-whitefield,0,routing
2026-07-24 10:53:00+00:00,ho-chennai,0,routing
2026-07-24 10:53:00+00:00,br-koramangala,0,routing
2026-07-24 10:53:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:12:00+00:00,br-koramangala,0,routing
2026-07-24 12:12:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:12:00+00:00,br-whitefield,0,routing
2026-07-24 12:12:00+00:00,ho-chennai,0,routing
2026-07-24 12:12:30+00:00,br-whitefield,0,routing
2026-07-24 12:12:30+00:00,ho-chennai,0,routing
2026-07-24 12:12:30+00:00,br-koramangala,0,routing
2026-07-24 12:12:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:13:00+00:00,br-koramangala,0,routing
2026-07-24 12:13:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:13:00+00:00,br-whitefield,0,routing
2026-07-24 12:13:00+00:00,ho-chennai,0,routing
2026-07-24 12:13:30+00:00,br-whitefield,0,routing
2026-07-24 12:13:30+00:00,ho-chennai,0,routing
2026-07-24 12:13:30+00:00,br-koramangala,0,routing
2026-07-24 12:13:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:14:00+00:00,br-koramangala,0,routing
2026-07-24 12:14:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:14:00+00:00,br-whitefield,0,routing
2026-07-24 12:14:00+00:00,ho-chennai,0,routing
2026-07-24 12:14:30+00:00,br-whitefield,0,routing
2026-07-24 12:14:30+00:00,ho-chennai,0,routing
2026-07-24 12:14:30+00:00,br-koramangala,0,routing
2026-07-24 12:14:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:15:00+00:00,br-koramangala,0,routing
2026-07-24 12:15:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:15:00+00:00,br-whitefield,0,routing
2026-07-24 12:15:00+00:00,ho-chennai,0,routing
2026-07-24 12:15:30+00:00,br-whitefield,0,routing
2026-07-24 12:15:30+00:00,ho-chennai,0,routing
2026-07-24 12:15:30+00:00,br-koramangala,0,routing
2026-07-24 12:15:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:16:00+00:00,br-koramangala,0,routing
2026-07-24 12:16:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:16:00+00:00,br-whitefield,0,routing
2026-07-24 12:16:00+00:00,ho-chennai,0,routing
2026-07-24 12:16:30+00:00,br-whitefield,0,routing
2026-07-24 12:16:30+00:00,ho-chennai,0,routing
2026-07-24 12:16:30+00:00,br-koramangala,0,routing
2026-07-24 12:16:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:17:00+00:00,br-koramangala,0,routing
2026-07-24 12:17:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:17:00+00:00,br-whitefield,0,routing
2026-07-24 12:17:00+00:00,ho-chennai,0,routing
2026-07-24 12:17:30+00:00,br-whitefield,0,routing
2026-07-24 12:17:30+00:00,ho-chennai,0,routing
2026-07-24 12:17:30+00:00,br-koramangala,0,routing
2026-07-24 12:17:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:18:00+00:00,br-koramangala,0,routing
2026-07-24 12:18:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:18:00+00:00,br-whitefield,0,routing
2026-07-24 12:18:00+00:00,ho-chennai,0,routing
2026-07-24 12:18:30+00:00,br-whitefield,0,routing
2026-07-24 12:18:30+00:00,ho-chennai,0,routing
2026-07-24 12:18:30+00:00,br-koramangala,0,routing
2026-07-24 12:18:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:19:00+00:00,br-koramangala,0,routing
2026-07-24 12:19:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:19:00+00:00,br-whitefield,0,routing
2026-07-24 12:19:00+00:00,ho-chennai,0,routing
2026-07-24 12:19:30+00:00,br-whitefield,0,routing
2026-07-24 12:19:30+00:00,ho-chennai,0,routing
2026-07-24 12:19:30+00:00,br-koramangala,0,routing
2026-07-24 12:19:30+00:00,zo-bengaluru,0,routing
2026-07-24 12:20:00+00:00,br-koramangala,0,routing
2026-07-24 12:20:00+00:00,zo-bengaluru,0,routing
2026-07-24 12:20:00+00:00,br-whitefield,0,routing
2026-07-24 12:20:00+00:00,ho-chennai,0,routing
2026-07-24 12:20:30+00:00,br-whitefield,0,routing
